text;label
acak-acakan;0
adu;0
adu domba;0
aib;0
akal bulus;0
alasan saja;0
alibi;0
aliran;0
amatir;0
ambisi;0
ambisius;0
ambruk;0
amburadul;0
ampas;0
amputasi;0
amuk;0
anarkis;0
ancam;0
ancaman;0
aneh;0
angin kencang;0
apa boleh buat;0
apatis;0
asal;0
babak belur;0
bacokan;0
bagaimana mau;0
bagaimana mungkin;0
bahaya;0
bahayakan;0
bakteri;0
baku hantam;0
balas dendam;0
bandel;0
bangkai;0
bangkrut;0
bangsat;0
banjir;0
bantah;0
bantai;0
banyak cincong;0
banyak cingcong;0
banyak pertanyaan;0
banyak tingkah;0
barbar;0
barbarisme;0
basi;0
batal;0
batalkan;0
batuk-batuk;0
bawah tangan;0
bebal;0
beber;0
bekeluyuran;0
bekoar;0
belingsatan;0
belum begitu dekat;0
bencana;0
bengis;0
bengkak;0
beracun;0
berakal bulus;0
beralkohol;0
berantakan;0
berbahaya;0
berbanding terbalik;0
berbantah-bantahan;0
berbantahan;0
berbelit-belit;0
berbenturan;0
berbohong;0
berborok;0
bercampur aduk;0
berdaki;0
berdalih;0
berdarah;0
berdarah dingin;0
berdebat;0
berdemo;0
berdemonstrasi;0
berdesak-desakan;0
berdesakan;0
berdosa;0
berduka cita;0
berdusta;0
beresiko;0
berfoya-foya;0
bergelandangan;0
bergentayangan;0
bergidik;0
bergontok-gontokan;0
bergontokan;0
bergosip;0
bergunjing;0
berhamburan;0
berhantu;0
berhura-hura;0
berhutang;0
beriba-iba;0
berimbas;0
berimpitan;0
beringas;0
berisik;0
berisiko;0
berjangkit;0
berjatuhan;0
berjejal;0
berjudi;0
berkabung;0
berkacak pinggang;0
berkasak-kusuk;0
berkecamuk;0
berkecil hati;0
berkedok;0
berkelahi;0
berkelainan;0
berkeliaran;0
berkelit;0
berkeluyuran;0
berkerut;0
berkhalwat;0
berkhianat;0
berkilah;0
berkoar;0
berkoar-koar;0
berkolusi;0
berkomplot;0
berkonflik;0
berkongkalikong;0
berkotor-kotor;0
berkuman;0
berkunang-kunang;0
berkutu;0
berlagak;0
berlawanan;0
berlebih-lebihan;0
berlebihan;0
berleha-leha;0
berliku;0
berliku-liku;0
berlinang;0
