,author,username,retweet_count,tweets,created_at
0,radaraktual,Santri_Emas,4,Menkes Budi Gunadi: Varian Corona Omicron XBB Terdeteksi di Indonesia https://t.co/LlZIbs6GAE,2022-10-23 16:24:26
1,Chala_kyun,liziewy,5,"@collegemenfess Maaf kasar tp klo g ikhlas bilang nder
G semua org tubuhny kuat. Banyak loh org yg mudah sakit. Lalu kalo semester 3 berarti dia setahun d bawah aku ya alias masih masuk generasi corona. Mgkn dia jg butuh adaptasi lagi balek ke offline
Kamu bisa kuliah sambil kerja? Good for u",2022-10-23 16:20:57
2,,KumkumShaw9,0,"@MeerabK75844285 @KPROY07031997 @SirGTweets @Madhusmita_23 @IamIqraNasir @IrfanPathan Bc pgl ho gya h kya pakistan k haar se..
Mc tm jssa 50 desh  new born kar k usko khila sakte h laude aur sun bc puri duniya ko hm log wheat nd rice dete h free is corona crisis me nd tu bol rha h hm bhikari h ..
Mc tujhe pta nh ki hm paise k dam pr icc chalate h naa ki icc hme",2022-10-23 16:16:12
3,NamdiAzikiwe,WisemanNtele,11,“Serikali ina upotoshaji mkubwa walisema pesa za corona walizopata watajenga shule lakini mpaka sasa kuna shule za chini ya mti ni nyingi tu na changamoto ya madarasa iko palepale”. Uwajibikaji ni kitu adimu sana nchini – @Twaha_Mwaipaya #KatibaMpya #WenyeNchiWananchi https://t.co/g46xUlXs7H,2022-10-23 16:13:52
4,NamdiAzikiwe,WisemanNtele,10,"“Katiba itatakiwa iseme mtu yoyote anayepotosha umma awajibishwe, hata kama ni Rais, kipindi cha corona upotoshaji ule uliua watu wengi”. Lazima tuwe nchi inayowajibisha watu wasio na maadili –  @Twaha_Mwaipaya #KatibaMpya #WenyeNchiWananchi https://t.co/GUEeBn4VEh https://t.co/ZnWjVN049d",2022-10-23 16:13:50
5,NamdiAzikiwe,WisemanNtele,4,"“Tuna serikali ambayo ina uposhaji mkubwa kwa raia wake, tukianzia kwenye corona walituambia tusichanje na tufanye maombi, yani hawasemi ukweli hatimae madhara yake tuliyaona”. – @Twaha_Mwaipaya #KatibaMpya #WenyeNchiWananchi https://t.co/GUEeBn4VEh https://t.co/8fcltiu5WG",2022-10-23 16:13:40
6,Kurniaw4nnnn,rgnaptr,95,@biggienotsmall_ @ardianpancaa hari ini gue abis ngomelin maba bang wkwk. bukan sok senioritas tapi attitudenya itu loh gak ada sama sekali. maba Corona emg banyak yg  songong,2022-10-23 16:10:18
7,,istrimuda2159,0,"@alisyarief Tenang pak @alisyarief
Bentar lagi sudah akan muncul vaksinnya kok...
Kalau tidak pasti akan segera ditangani dgn cara pencegahan Corona ramai ramai cuci tangan",2022-10-23 16:09:49
8,radaraktual,Rori_Golkar,4,Menkes Budi Gunadi: Varian Corona Omicron XBB Terdeteksi di Indonesia https://t.co/LlZIbs6GAE,2022-10-23 16:09:30
9,,_IndianSpartan,0,@rizzu_ar @gopalkpurohit7 @israrah77355384 @Rofl_Vishvas Ye dekho kon bol rha hai. Corona time me Doctors or police pr thookne wala aaya hai tweet krne. Hinduo ki shadi me thook lagakar roti banane wala salah dega sabko aaj.,2022-10-23 16:09:28
10,,hussain005253,0,@DarshanaJardosh Ben shri.. Jamnagar - vadodara intercity Surat sudhi chalu karavo. Corona pehla thi 10 varas thi a train surat sudhi j hati.,2022-10-23 16:09:21
11,,thisistemidayo,0,"Mara ya mwisho makolo kutufunga Corona haìkwepo, ikaja, ikakaa, ikaamua kuchil na kurelax, vita ya ukraine na russia haikwepo, ikaja ikapita. 😄😂",2022-10-23 16:02:17
12,,ahmedttaarek,0,Corona abtdt terga3 taareban,2022-10-23 15:49:15
13,,ANRPRJ,0,"@elubize_ @collegemenfess Kalau architecture visual biasanya 3ds max, render engine pakai vray, corona render biasanya",2022-10-23 15:44:41
14,,birurima,0,"@kochengfs awal corona banyak bgt kucing kucing2 yg tdnya dipelihara trs ditinggal pemiliknya gt aja. kasian mrk gaterbiasa nyari makan sendiri, trs mrk ngais2 ssmpah. i mean ayolah kalo gabisa bawa pulang at least tgung jawab anjir titipin di shealter kek, atau open adopt dsb",2022-10-23 15:43:25
15,Kurniaw4nnnn,NiAdhelia,95,@biggienotsmall_ @ardianpancaa hari ini gue abis ngomelin maba bang wkwk. bukan sok senioritas tapi attitudenya itu loh gak ada sama sekali. maba Corona emg banyak yg  songong,2022-10-23 15:42:27
16,,dipakkarande,0,@I_am_SonalB Corona peksha dengue bekar ahe.,2022-10-23 15:41:39
